measures,16,,,,,
beats,4,,,,,
divisions,4,,,,,
minTempo,60,,,,,
maxTempo,140,,,,,
swing,1,,,,,
36,36,64,64,100,,90
,,,,,,20
,43,64,64,,100,80
,,,,,,20
,40,64,64,,,90
31,,,,90,,20
,43,,,,100,80
,,,,,,20
36,36,64,64,90,,90
,,,,,,20
,43,64,64,,95,80
,,,,,,20
,40,64,64,,,90
31,,,,90,,20
,43,,,,95,80
,,,,,,20
36,36,64,64,100,,90
,,,,,,20
,43,67,67,,100,80
,,,,,,20
,40,60,60,,,90
31,,,,90,,20
,43,62,62,,100,80
,,,,,,20
36,36,64,64,90,,90
,,,,,,20
,43,,,,95,80
,,,,,,20
,40,,,,,90
31,,,,90,,20
,43,,,,95,80
,,,,,,20
41,41,65,65,100,,90
,,,,,,20
,48,65,65,,100,80
,,,,,,20
,45,65,65,,,90
36,,,,90,,20
,48,65,65,,100,80
,,,,,,20
36,36,65,65,90,,90
,,,,,,20
,43,64,64,,95,80
,,,,,,20
,40,64,64,,,90
31,,,,90,,20
,43,64,64,,95,80
,,,,,,20
38,38,64,64,100,90,90
,,,,,80,20
,45,62,62,,90,80
,,,,,80,20
,42,62,62,,90,90
33,,,,90,80,20
,45,64,64,,90,80
,,,,,80,20
43,43,62,62,90,90,90
,,,,,80,20
,50,,,,90,80
,,,,,80,20
,47,67,67,,90,90
38,,,,90,80,20
,,,,,90,80
,,,,,80,20
36,36,64,64,100,,90
,,,,,,20
,43,64,64,,100,80
,,,,,,20
,40,64,64,,,90
31,,,,90,,20
,43,,,,100,80
,,,,,,20
36,36,64,64,90,,90
,,,,,,20
,43,64,64,,95,80
,,,,,,20
,40,64,64,,,90
31,,,,90,,20
,43,,,,95,80
,,,,,,20
36,36,64,64,100,,90
,,,,,,20
,43,67,67,,100,80
,,,,,,20
,40,60,60,,,90
31,,,,90,,20
,43,62,62,,100,80
,,,,,,20
36,36,64,64,90,,90
,,,,,,20
,43,,,,95,80
,,,,,,20
,40,,,,,90
31,,,,90,,20
,43,,,,95,80
,,,,,,20
41,41,65,65,100,,90
,,,,,,20
,48,65,65,,100,80
,,,,,,20
,45,65,65,,,90
36,,,,90,,20
,48,65,65,,100,80
,,,,,,20
36,36,65,65,90,,90
,,,,,,20
,43,64,64,,95,80
,,,,,,20
,40,64,64,,,90
31,,,,90,,20
,43,64,64,,95,80
,,,,,,20
43,43,67,67,100,90,90
,,,,,80,20
41,50,67,67,,90,80
,,,,,80,20
40,47,64,64,,90,90
38,,,,90,80,20
38,50,62,62,,90,80
,,,,,80,20
36,36,60,60,100,,
,,,,,,
,,,,,,
,,,,,,
31,43,55,55,100,100,100
,,,,,,
,,,,,,
,,,,,,
